epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8963,4.15709,7.9717,4.01802,0.80125,0.03345,0.02492,0.00909,3.95696,10.4662,3.28876,0.000414244,0.000414244,0.000414244
2,121.82,3.06344,3.82608,2.53755,0.44149,0.24669,0.13284,0.04083,2.85264,2.95382,2.15318,0.000826798,0.000826798,0.000826798
3,181.269,2.57599,2.38648,1.922,0.5386,0.31717,0.2534,0.11597,2.34252,2.6682,1.86712,0.00123523,0.00123523,0.00123523
4,240.08,2.28818,1.87412,1.73426,0.66626,0.27489,0.34686,0.13341,2.07513,1.5069,1.62709,0.00123144,0.00123144,0.00123144
5,298.103,2.17428,1.69437,1.64677,0.65949,0.44378,0.4341,0.18093,1.98329,1.73449,1.62015,0.00122525,0.00122525,0.00122525
6,356.139,2.08349,1.51365,1.57805,0.46706,0.43727,0.42584,0.20219,1.92424,1.28719,1.51242,0.00121906,0.00121906,0.00121906
7,414.178,1.97267,1.38483,1.52453,0.61991,0.48342,0.50473,0.24502,1.76269,1.20067,1.41106,0.00121287,0.00121287,0.00121287
8,472.262,1.91064,1.29563,1.48022,0.51611,0.53212,0.48118,0.25706,1.69028,1.20808,1.41355,0.00120669,0.00120669,0.00120669
9,530.408,1.86621,1.24734,1.43956,0.55931,0.53381,0.5232,0.26724,1.73363,1.14619,1.3951,0.0012005,0.0012005,0.0012005
10,588.687,1.85833,1.2213,1.41039,0.71119,0.529,0.55844,0.25434,1.6821,1.08896,1.39337,0.00119431,0.00119431,0.00119431
11,647.822,1.78859,1.18494,1.36953,0.6403,0.50461,0.51007,0.27272,1.662,1.1093,1.31383,0.00118812,0.00118812,0.00118812
12,706.844,1.76593,1.16088,1.35843,0.67076,0.58292,0.5866,0.32482,1.59423,0.95407,1.2899,0.00118194,0.00118194,0.00118194
13,766.153,1.72617,1.10718,1.32125,0.66911,0.6184,0.61358,0.33815,1.56594,0.95987,1.27708,0.00117575,0.00117575,0.00117575
14,824.574,1.66213,1.06029,1.30067,0.76128,0.53967,0.59935,0.33848,1.4889,0.92592,1.22778,0.00116956,0.00116956,0.00116956
15,883.74,1.67917,1.04033,1.30613,0.6909,0.59205,0.62526,0.32572,1.65138,0.99399,1.30515,0.00116337,0.00116337,0.00116337
16,943.565,1.65896,1.01576,1.30671,0.74715,0.62687,0.65338,0.35782,1.52461,0.87791,1.22165,0.00115719,0.00115719,0.00115719
17,1003.36,1.62036,1.00625,1.25181,0.71145,0.64694,0.63538,0.34352,1.55882,0.9226,1.24323,0.001151,0.001151,0.001151
18,1063.33,1.61026,0.98172,1.25575,0.71409,0.62778,0.63368,0.35437,1.531,0.89387,1.22077,0.00114481,0.00114481,0.00114481
19,1123.18,1.56498,0.96657,1.2479,0.72365,0.63374,0.66258,0.36708,1.41074,0.83671,1.17805,0.00113863,0.00113863,0.00113863
20,1183.09,1.56747,0.96333,1.24665,0.75624,0.63186,0.67128,0.37951,1.39747,0.80877,1.16655,0.00113244,0.00113244,0.00113244
21,1242.89,1.51693,0.92302,1.22865,0.78134,0.67415,0.6773,0.38744,1.46338,0.81291,1.18521,0.00112625,0.00112625,0.00112625
22,1302.59,1.53607,0.92538,1.21169,0.7366,0.66934,0.68139,0.3824,1.44241,0.87979,1.16318,0.00112006,0.00112006,0.00112006
23,1362.35,1.51104,0.91928,1.20281,0.76414,0.65334,0.67872,0.40328,1.38405,0.82404,1.15764,0.00111388,0.00111388,0.00111388
24,1420.21,1.4992,0.89323,1.19435,0.69585,0.68651,0.69132,0.40518,1.4018,0.79772,1.13332,0.00110769,0.00110769,0.00110769
25,1478.12,1.48884,0.87688,1.18914,0.751,0.64625,0.666,0.38535,1.36997,0.79426,1.1428,0.0011015,0.0011015,0.0011015
26,1536,1.47969,0.89012,1.17666,0.7305,0.69702,0.69702,0.40177,1.36518,0.75723,1.13348,0.00109531,0.00109531,0.00109531
27,1593.8,1.46494,0.87444,1.17671,0.80648,0.6774,0.71187,0.40223,1.37109,0.7887,1.12325,0.00108913,0.00108913,0.00108913
